source	id	datetime	species	area_cover	area_fraction	n_tree	vol_tree[m3ha-1]	h_max[m]	h_min[m]	diam_ground[m]	diam_breast[m]	depth[m]	lai	crown_diam_ratio	sap_fol_ratio	branch_fraction	stem_wood[kgm-2]	branch_wood[kgm-2]	root_wood[kgm-2]
setup	0	2006-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	1.35369	1	0	0	0	0	0
setup	0	2007-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	2.1477	1	0	0	0	0	0
setup	0	2008-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	0.0101859	1	0	0	0	0	0
setup	0	2009-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	1.25161	1	0	0	0	0	0
setup	0	2010-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	0.180491	1	0	0	0	0	0
setup	0	2011-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	1.38798	1	0	0	0	0	0
setup	0	2012-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	0.200081	1	0	0	0	0	0
setup	0	2013-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	1.41903	1	0	0	0	0	0
setup	0	2014-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	2.04236	1	0	0	0	0	0
setup	0	2015-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	1.65999	1	0	0	0	0	0
setup	0	2016-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	1.46092	1	0	0	0	0	0
setup	0	2017-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	0	1	0	0	0	0	0
setup	0	2018-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	1.50168	1	0	0	0	0	0
setup	0	2019-12-31 23:00:00	ANGA	1	1	0	0	1	0	0	0	0.5	1.8964	1	0	0	0	0	0
